seed,enhanced,basic,ablation_imv
48,FullBiGRU,OneLayer,0.046578652761964906
48,FullBiGRU,NoAttention,0.05452291871522749
48,FullBiGRU,MeanPoolMLP,0.40883482079118083
48,UniGRU,FullBiGRU,-0.00548891593643866
48,UniGRU,UniGRU,0.0
48,UniGRU,OneLayer,0.04083407051608325
48,UniGRU,NoAttention,0.04873473106135167
48,UniGRU,MeanPoolMLP,0.4011018448915304
48,OneLayer,FullBiGRU,-0.04450564000999054
48,OneLayer,UniGRU,-0.039232065583552855
48,OneLayer,OneLayer,0.0
48,OneLayer,NoAttention,0.0075907013126030555
48,OneLayer,MeanPoolMLP,0.34613372542350895
48,NoAttention,FullBiGRU,-0.051703872668462436
48,NoAttention,UniGRU,-0.04647002680270789
48,NoAttention,OneLayer,-0.007533516637970695
48,NoAttention,NoAttention,0.0
48,NoAttention,MeanPoolMLP,0.3359926046060975
48,MeanPoolMLP,FullBiGRU,-0.29019358036706194
48,MeanPoolMLP,UniGRU,-0.2862760093807332
48,MeanPoolMLP,OneLayer,-0.2571317536187657
48,MeanPoolMLP,NoAttention,-0.25149286264586856
48,MeanPoolMLP,MeanPoolMLP,0.0
49,FullBiGRU,FullBiGRU,0.0
49,FullBiGRU,UniGRU,-0.02462972618747552
49,FullBiGRU,OneLayer,-0.042772237500612716
49,FullBiGRU,NoAttention,-0.027111590064558783
49,FullBiGRU,MeanPoolMLP,0.3149594673023205
49,UniGRU,FullBiGRU,0.025251667852458654
49,UniGRU,UniGRU,0.0
49,UniGRU,OneLayer,-0.018600639982826007
49,UniGRU,NoAttention,-0.002544535079362385
49,UniGRU,MeanPoolMLP,0.3481643870100846
49,OneLayer,FullBiGRU,0.044683448575427304
49,OneLayer,UniGRU,0.018953181284426867
49,OneLayer,OneLayer,0.0
49,OneLayer,NoAttention,0.016360419170420745
49,OneLayer,MeanPoolMLP,0.37371639103829496
49,NoAttention,FullBiGRU,0.027867111775293787
49,NoAttention,UniGRU,0.0025510262551570063
49,NoAttention,OneLayer,-0.016097064448627914
49,NoAttention,NoAttention,0.0
49,NoAttention,MeanPoolMLP,0.351603589757615
49,MeanPoolMLP,FullBiGRU,-0.239520285707718
49,MeanPoolMLP,UniGRU,-0.2582506928418665
49,MeanPoolMLP,OneLayer,-0.2720477046618256
49,MeanPoolMLP,NoAttention,-0.26013809997402315
49,MeanPoolMLP,MeanPoolMLP,0.0
50,FullBiGRU,FullBiGRU,0.0
50,FullBiGRU,UniGRU,-0.01424247775230684
50,FullBiGRU,OneLayer,0.022104903286527693
50,FullBiGRU,NoAttention,0.009773728104544263
50,FullBiGRU,MeanPoolMLP,0.41072735242796193
50,UniGRU,FullBiGRU,0.014448256727305101
50,UniGRU,UniGRU,0.0
50,UniGRU,OneLayer,0.036872537331448796
50,UniGRU,NoAttention,0.024363198164686694
50,UniGRU,MeanPoolMLP,0.43110990338807254
50,OneLayer,FullBiGRU,-0.021626843991698376
50,OneLayer,UniGRU,-0.03556130189960084
50,OneLayer,OneLayer,0.0
50,OneLayer,NoAttention,-0.012064490780088371
50,OneLayer,MeanPoolMLP,0.3802177720621807
50,NoAttention,FullBiGRU,-0.009679126949450962
50,NoAttention,UniGRU,-0.023783749951518492
50,NoAttention,OneLayer,0.012211820171961093
50,NoAttention,NoAttention,0.0
50,NoAttention,MeanPoolMLP,0.39707274329274883
50,MeanPoolMLP,FullBiGRU,-0.2911458062545332
50,MeanPoolMLP,UniGRU,-0.30124164633858236
50,MeanPoolMLP,OneLayer,-0.2754766528575401
50,MeanPoolMLP,NoAttention,-0.28421765809909905
50,MeanPoolMLP,MeanPoolMLP,0.0
51,FullBiGRU,FullBiGRU,0.0
51,FullBiGRU,UniGRU,-0.002883364124703281
51,FullBiGRU,OneLayer,-0.05855418328080717
51,FullBiGRU,NoAttention,-0.02624647203035747
51,FullBiGRU,MeanPoolMLP,0.29896875479866275
51,UniGRU,FullBiGRU,0.0028917019543778684
51,UniGRU,UniGRU,0.0
51,UniGRU,OneLayer,-0.05583180257265941
51,UniGRU,NoAttention,-0.02343066705044531
51,UniGRU,MeanPoolMLP,0.30272498528558983
51,OneLayer,FullBiGRU,0.06219602046229312
51,OneLayer,UniGRU,0.05913332256348955
51,OneLayer,OneLayer,0.0
51,OneLayer,NoAttention,0.03431712232047253
51,OneLayer,MeanPoolMLP,0.3797594420519998
51,NoAttention,FullBiGRU,0.026953917265987788
51,NoAttention,UniGRU,0.023992835183219537
51,NoAttention,OneLayer,-0.03317853062654775
51,NoAttention,NoAttention,0.0
51,NoAttention,MeanPoolMLP,0.3339810511466091
51,MeanPoolMLP,FullBiGRU,-0.23015854206978387
51,MeanPoolMLP,UniGRU,-0.2323782753112891
51,MeanPoolMLP,OneLayer,-0.27523597989459353
51,MeanPoolMLP,NoAttention,-0.2503641643631589
51,MeanPoolMLP,MeanPoolMLP,0.0
