seed,variant,geometric_mean_likelihood,information_deficit_nats,roc_auc,balanced_accuracy,parameters,minutes,cached
46,NoOrientation,0.6581777761100606,0.27486697287109707,0.8548852559257666,0.7712043161526321,2914,0.014207701866689603,False
47,FullFeatures,0.7335296090920348,0.38325986520643135,0.9287743056148317,0.8296688352704366,3042,0.02195416993345134,False
47,NoGeometry,0.6982095345316529,0.3339111520301136,0.9055219858244082,0.8017114613709694,2914,0.033966485966811885,False
47,NoConcentration,0.684573430141004,0.3141878161421845,0.8942959888072732,0.7747920569196411,2850,0.03139370706679377,False
47,NoMoments,0.7304682631213891,0.3790776864057399,0.9257189837152963,0.830079425371733,2850,0.03508953639999769,False
47,NoOrientation,0.6445513364795018,0.25394637397264885,0.8462835242501322,0.744021466694188,2914,0.028798275033477694,False
48,FullFeatures,0.7268081599866545,0.3740544653161805,0.9235532252031902,0.8340990956736045,3042,0.013447159000012714,False
48,NoGeometry,0.7001213454127948,0.3366455721874425,0.9067317377127541,0.8064557994372598,2914,0.01511906649999825,False
48,NoConcentration,0.6879051119127675,0.3190428112680465,0.8964366249862263,0.7865164267079694,2850,0.015496388566680253,False
48,NoMoments,0.7302700547807491,0.3788063053658544,0.9258276208316327,0.8336378729163013,2850,0.013195578050120579,False
48,NoOrientation,0.6571509849270314,0.27330570329041537,0.8577112759118922,0.7680714933102816,2914,0.013122399533313001,False
49,FullFeatures,0.7308083296114289,0.37954312395243045,0.9256152934676501,0.8334250605651924,3042,0.032529462216674195,False
49,NoGeometry,0.701597460196836,0.33875172261331704,0.9061687646563108,0.8122341300572518,2914,0.031697913150128446,False
49,NoConcentration,0.6860941694039261,0.31640679306615793,0.8920952142246337,0.7894807650225732,2850,0.01910278851670834,False
49,NoMoments,0.7325152080664671,0.38187600411899014,0.9275343875272174,0.8326442312915245,2850,0.012494585316502101,False
49,NoOrientation,0.6541099241770597,0.26866731869261995,0.851744964281668,0.7615740237791129,2914,0.012542314633416632,False
50,FullFeatures,0.74600432920963,0.4001233049947975,0.9362556200308219,0.8458986384665406,3042,0.015202077199986282,False
50,NoGeometry,0.710621969221296,0.3515325011254694,0.9142870611642484,0.8254885372322678,2914,0.01785728738323087,False
50,NoConcentration,0.6966214302234695,0.3316340230667521,0.9019647022489434,0.7973025404013676,2850,0.013760550099929485,False
50,NoMoments,0.7395765305066029,0.39146966790286564,0.932614336685047,0.8431059855947183,2850,0.013464181850091942,False
50,NoOrientation,0.6622993013265921,0.2811094721483488,0.8633973619804236,0.7751575432181728,2914,0.013251370883275134,False
51,FullFeatures,0.7422410985274316,0.3950660225966259,0.9322763976553006,0.8428520463352821,3042,0.016396345100171555,False
51,NoGeometry,0.7076872204780704,0.3473941186726656,0.9107778883117326,0.8180678462070903,2914,0.01358182515007987,False
51,NoConcentration,0.7045700739377153,0.3429796941698466,0.9082648790170513,0.8091780321783139,2850,0.013328794750123052,False
51,NoMoments,0.7399741439619397,0.39200714657361363,0.9298757113791172,0.8452087927778045,2850,0.013317932566618158,False
51,NoOrientation,0.6617728637443969,0.28031429251415374,0.8587754346648623,0.7682083566773803,2914,0.012927717966522322,False
