example,dataset,model,class_i,class_j,class_i_name,class_j_name,pairwise_imv
multi_imv_dry_bean,Dry Bean,lightgbm,3,4,DERMASON,HOROZ,0.539007184070703
multi_imv_dry_bean,Dry Bean,lightgbm,3,5,DERMASON,SEKER,0.5566688602880292
multi_imv_dry_bean,Dry Bean,lightgbm,3,6,DERMASON,SIRA,0.6738007263690161
multi_imv_dry_bean,Dry Bean,lightgbm,4,0,HOROZ,BARBUNYA,0.6791369128448497
multi_imv_dry_bean,Dry Bean,lightgbm,4,1,HOROZ,BOMBAY,0.2705829785945159
multi_imv_dry_bean,Dry Bean,lightgbm,4,2,HOROZ,CALI,0.8274298845874066
multi_imv_dry_bean,Dry Bean,lightgbm,4,3,HOROZ,DERMASON,0.5390071840707027
multi_imv_dry_bean,Dry Bean,lightgbm,4,4,HOROZ,HOROZ,0.0
multi_imv_dry_bean,Dry Bean,lightgbm,4,5,HOROZ,SEKER,0.9495089146914296
multi_imv_dry_bean,Dry Bean,lightgbm,4,6,HOROZ,SIRA,0.708387982845877
multi_imv_dry_bean,Dry Bean,lightgbm,5,0,SEKER,BARBUNYA,0.6443516644038187
multi_imv_dry_bean,Dry Bean,lightgbm,5,1,SEKER,BOMBAY,0.2573017172152488
multi_imv_dry_bean,Dry Bean,lightgbm,5,2,SEKER,CALI,0.8007344715094622
multi_imv_dry_bean,Dry Bean,lightgbm,5,3,SEKER,DERMASON,0.5566688602880292
multi_imv_dry_bean,Dry Bean,lightgbm,5,4,SEKER,HOROZ,0.9495089146914296
multi_imv_dry_bean,Dry Bean,lightgbm,5,5,SEKER,SEKER,0.0
multi_imv_dry_bean,Dry Bean,lightgbm,5,6,SEKER,SIRA,0.7464235177343019
multi_imv_dry_bean,Dry Bean,lightgbm,6,0,SIRA,BARBUNYA,0.492763841549357
multi_imv_dry_bean,Dry Bean,lightgbm,6,1,SIRA,BOMBAY,0.1978836389866954
multi_imv_dry_bean,Dry Bean,lightgbm,6,2,SIRA,CALI,0.6117598664228545
multi_imv_dry_bean,Dry Bean,lightgbm,6,3,SIRA,DERMASON,0.6738007263690161
multi_imv_dry_bean,Dry Bean,lightgbm,6,4,SIRA,HOROZ,0.708387982845877
multi_imv_dry_bean,Dry Bean,lightgbm,6,5,SIRA,SEKER,0.746423517734302
multi_imv_dry_bean,Dry Bean,lightgbm,6,6,SIRA,SIRA,0.0
multi_imv_nursery,Nursery,logistic_regression,0,0,not_recom,not_recom,0.0
multi_imv_nursery,Nursery,logistic_regression,0,1,not_recom,priority,0.987237808004056
multi_imv_nursery,Nursery,logistic_regression,0,2,not_recom,spec_prior,0.9356738854411624
multi_imv_nursery,Nursery,logistic_regression,1,0,priority,not_recom,0.9872378080040556
multi_imv_nursery,Nursery,logistic_regression,1,1,priority,priority,0.0
multi_imv_nursery,Nursery,logistic_regression,1,2,priority,spec_prior,0.3993830035132193
multi_imv_nursery,Nursery,logistic_regression,2,0,spec_prior,not_recom,0.93567388544116
multi_imv_nursery,Nursery,logistic_regression,2,1,spec_prior,priority,0.3993830035132189
multi_imv_nursery,Nursery,logistic_regression,2,2,spec_prior,spec_prior,0.0
multi_imv_nursery,Nursery,xgboost,0,0,not_recom,not_recom,0.0
multi_imv_nursery,Nursery,xgboost,0,1,not_recom,priority,0.9874460859743758
multi_imv_nursery,Nursery,xgboost,0,2,not_recom,spec_prior,0.9360377415972028
multi_imv_nursery,Nursery,xgboost,1,0,priority,not_recom,0.9874460860331918
multi_imv_nursery,Nursery,xgboost,1,1,priority,priority,0.0
multi_imv_nursery,Nursery,xgboost,1,2,priority,spec_prior,0.8968539681012635
multi_imv_nursery,Nursery,xgboost,2,0,spec_prior,not_recom,0.9360377412533916
multi_imv_nursery,Nursery,xgboost,2,1,spec_prior,priority,0.8968539681689105
multi_imv_nursery,Nursery,xgboost,2,2,spec_prior,spec_prior,0.0
multi_imv_nursery,Nursery,lightgbm,0,0,not_recom,not_recom,0.0
multi_imv_nursery,Nursery,lightgbm,0,1,not_recom,priority,0.9875069993248548
multi_imv_nursery,Nursery,lightgbm,0,2,not_recom,spec_prior,0.9361056118544318
multi_imv_nursery,Nursery,lightgbm,1,0,priority,not_recom,0.9875069993248572
multi_imv_nursery,Nursery,lightgbm,1,1,priority,priority,0.0
multi_imv_nursery,Nursery,lightgbm,1,2,priority,spec_prior,0.9148542153173226
multi_imv_nursery,Nursery,lightgbm,2,0,spec_prior,not_recom,0.9361056118544312
multi_imv_nursery,Nursery,lightgbm,2,1,spec_prior,priority,0.9148542153173216
multi_imv_nursery,Nursery,lightgbm,2,2,spec_prior,spec_prior,0.0
