seed,model,class,multi_imv,brier_loss,accuracy,precision,recall
44,xgboost,0,0.4044786514133555,0.0197886293421636,0.9785879629629629,0.991617770326907,0.9776859504132231
44,xgboost,1,0.2522383609018706,0.032309809534637475,0.9693287037037037,0.9168765743073047,0.9479166666666666
44,xgboost,2,0.0337882307764241,0.012257188271176549,0.9866898148148148,0.8285714285714286,0.8405797101449275
44,xgboost,3,0.0357000998434184,0.004665579098119778,0.9971064814814815,0.9411764705882353,0.9846153846153847
44,lightgbm,0,0.41520570094165,0.011808566203144232,0.9878472222222222,1.0,0.9826446280991735
44,lightgbm,1,0.2678456517447687,0.01787617561349405,0.9826388888888888,0.9447236180904522,0.9791666666666666
44,lightgbm,2,0.0367857667078307,0.007712351321305201,0.9901620370370371,0.8611111111111112,0.8985507246376812
44,lightgbm,3,0.0375713436177508,0.0020628053780822188,0.9976851851851852,0.9420289855072463,1.0
45,logistic_regression,0,0.1457793230850865,0.16874371540694905,0.7199074074074074,0.7426470588235294,0.9181818181818182
45,logistic_regression,1,0.0450459924321129,0.16243187569314252,0.7418981481481481,0.3385416666666667,0.16927083333333334
45,logistic_regression,2,0.0034252928468812,0.037738540691810055,0.9600694444444444,0.0,0.0
45,logistic_regression,3,0.0197403642866517,0.028826181526999797,0.9542824074074074,0.325,0.2
45,xgboost,0,0.404509969483427,0.01980143327345815,0.9768518518518519,0.9932546374367622,0.9735537190082645
45,xgboost,1,0.2514804641689397,0.03304017975910761,0.96875,0.9084158415841584,0.9557291666666666
45,xgboost,2,0.0340685790321588,0.011756636414179877,0.9861111111111112,0.835820895522388,0.8115942028985508
45,xgboost,3,0.0357090219043027,0.004639662085509866,0.9953703703703703,0.9014084507042254,0.9846153846153847
45,lightgbm,0,0.4157611789415578,0.011048644868880382,0.9866898148148148,0.9991589571068125,0.9818181818181818
45,lightgbm,1,0.2678848160912645,0.017658551541920767,0.9826388888888888,0.946969696969697,0.9765625
45,lightgbm,2,0.0374782383363298,0.006370786160526608,0.9930555555555556,0.8701298701298701,0.9710144927536232
45,lightgbm,3,0.0376092057776803,0.0019790761986820133,0.9994212962962963,0.9848484848484849,1.0
46,logistic_regression,0,0.1487629466928695,0.16776531637924824,0.7251157407407407,0.7461486939048895,0.9206611570247933
46,logistic_regression,1,0.0465733866386583,0.1617770080385794,0.7494212962962963,0.37305699481865284,0.1875
46,logistic_regression,2,0.0032608522441409,0.03777088209547084,0.9600694444444444,0.0,0.0
46,logistic_regression,3,0.0193184952528896,0.029222652031940792,0.9542824074074074,0.3333333333333333,0.2153846153846154
46,xgboost,0,0.4044645966475023,0.01975712355177631,0.9797453703703703,0.9924559932942163,0.9785123966942149
46,xgboost,1,0.2521698475771128,0.03207382722007227,0.9739583333333334,0.9335038363171355,0.9505208333333334
46,xgboost,2,0.0344389724588897,0.01086878410386608,0.9907407407407407,0.8441558441558441,0.9420289855072463
46,xgboost,3,0.0357237206183729,0.004672597328981471,0.9965277777777778,0.9402985074626866,0.9692307692307692
46,lightgbm,0,0.4156875466817132,0.011325556329222712,0.9861111111111112,0.99748322147651,0.9826446280991735
46,lightgbm,1,0.268262267194635,0.017412063073020814,0.9797453703703703,0.9462915601023018,0.9635416666666666
46,lightgbm,2,0.0375090734532247,0.006310197435199871,0.9913194444444444,0.8552631578947368,0.9420289855072463
46,lightgbm,3,0.037631911527271,0.0020630674544838174,0.9965277777777778,0.927536231884058,0.9846153846153847
