example,dataset,model,class,class_name,multi_imv_mean,multi_imv_std,brier_loss_mean,brier_loss_std,accuracy_mean,accuracy_std,precision_mean,precision_std,recall_mean,recall_std
multi_imv_car_evaluation,Car Evaluation,xgboost,2,good,0.0341458041209273,0.0002567358719372,0.011445222942198,0.0005465972907814,0.988715277777778,0.0019719375289603,0.8367334043800974,0.0176601652096975,0.8913043478260869,0.0433438609780829
multi_imv_car_evaluation,Car Evaluation,xgboost,3,vgood,0.035570307092179,0.0001754069343836,0.005033571250709,0.0004128081269476,0.9954282407407408,0.0014030167087938,0.9185464790423428,0.0249675612638042,0.9646153846153848,0.0192563931851472
multi_imv_dry_bean,Dry Bean,lightgbm,0,BARBUNYA,0.1012383110731743,9.17524762969303e-05,0.0095288846560812,0.0001652199576556,0.9874733671295276,0.0003997949628319,0.9460100973122844,0.0021440372441529,0.92375189107413,0.0033790954246597
multi_imv_dry_bean,Dry Bean,lightgbm,1,BOMBAY,0.03972453064087,8.714323090049018e-05,0.0001860520545642,3.411352829162137e-05,0.9998089780324736,3.793973840963603e-05,0.9973202026045056,0.0009848528140983,0.9977011494252874,0.0008077337573865
multi_imv_dry_bean,Dry Bean,lightgbm,2,CALI,0.1289755032397253,0.0002529928629858,0.0101798559286889,0.0003082207664761,0.9866872382631694,0.0006241826883971,0.9436046758617216,0.0030635108074411,0.9453374233128834,0.0026419178502607
multi_imv_dry_bean,Dry Bean,lightgbm,3,DERMASON,0.3269316057416155,0.0002429480477735,0.0293298963140158,0.0001987801766076,0.9576225112041732,0.0007213540641324,0.9102270707762176,0.0019286141751317,0.9289622109419065,0.0016087912660422
multi_imv_dry_bean,Dry Bean,lightgbm,4,HOROZ,0.1575168965982169,0.0001436638975873,0.0096852474361024,0.0001255667274789,0.9875615311145396,0.0003464274169374,0.9592231531891502,0.0027504728647992,0.9526970954356846,0.0010021698994599
multi_imv_dry_bean,Dry Bean,lightgbm,5,SEKER,0.1667221560550998,0.0002172509540243,0.0111098908104989,0.0001837088466633,0.9854676364705016,0.0003074445634947,0.9534523263222932,0.0020965395417651,0.9487419832264432,0.0022481725834743
multi_imv_dry_bean,Dry Bean,lightgbm,6,SIRA,0.209327527216749,0.0002062235876549,0.0350332718896812,0.0002426261756778,0.9504518404231872,0.000859734898635,0.8752187631488733,0.0031206161032908,0.8679059180576632,0.0023440124654999
multi_imv_dry_bean,Dry Bean,logistic_regression,0,BARBUNYA,0.1003991231333222,9.49642385147006e-05,0.0106734263080124,0.0001056588108948,0.985497024465506,0.0002775052623949,0.9421992640086592,0.0012656364784437,0.9062783661119516,0.0022396790712256
multi_imv_dry_bean,Dry Bean,logistic_regression,1,BOMBAY,0.0398387388903098,2.2007040397516743e-06,3.25503630146073e-05,7.556354966293224e-06,0.999985306002498,3.0977666692828004e-05,1.0,0.0,0.999616858237548,0.0008077337573865
multi_imv_dry_bean,Dry Bean,logistic_regression,2,CALI,0.1280685043086285,3.816069574954335e-05,0.0111280509371146,5.6808571728948834e-05,0.9852766145029754,0.0001393995001176,0.934107584000918,0.0009709481841842,0.9436196319018404,0.0006100790957127
multi_imv_dry_bean,Dry Bean,logistic_regression,3,DERMASON,0.3247958102037217,7.62559675572457e-05,0.0304539676899861,5.847934614979265e-05,0.958283741091764,0.0002516637538983,0.922751766064612,0.0005986497266477,0.9166102650874224,0.0005802331025385
multi_imv_dry_bean,Dry Bean,logistic_regression,4,HOROZ,0.1570381756327908,5.97861215010622e-05,0.0101228553178373,6.430181785134588e-05,0.987098670193226,0.0001393995001176,0.9547448373741108,0.0010284072120877,0.9541493775933608,0.0005575558608781
multi_imv_dry_bean,Dry Bean,logistic_regression,5,SEKER,0.1657186434026613,0.0001272709792881,0.0117655216778382,8.993016534994062e-05,0.9845492616266256,0.0001834299053321,0.9493455549427878,0.0009898115492887,0.9467686235816478,0.0008205870711971
multi_imv_dry_bean,Dry Bean,logistic_regression,6,SIRA,0.2066011690704402,6.338935456850056e-05,0.0373158060075005,6.438372112830102e-05,0.9476085519065462,0.0003801080885301,0.8560542740226309,0.0012338970471358,0.8769347496206373,0.0011889387226649
multi_imv_dry_bean,Dry Bean,xgboost,0,BARBUNYA,0.1011806305935604,0.0001005076846408,0.0095742350374189,0.0001587971362321,0.9873264271545074,0.0005608690270417,0.9462111175500376,0.0040466527200141,0.9219364599092283,0.002870448708171
multi_imv_dry_bean,Dry Bean,xgboost,1,BOMBAY,0.0397994202879384,3.0651647245405284e-05,0.0001529717017345,6.030436969179341e-05,0.9998163250312248,8.658521063679941e-05,0.9963693021762294,0.0010849427023968,0.9988505747126436,0.0013394749018775
